ID,District_Name,District_Hospital_Name,CHCs,Month,Patient_Registration_%,Appointment_Utilization_%,OPD_Growth_%,Bed_Occupancy_%,Pharmacy_Fulfillment_%,Lab_TAT_Hours,Radiology_Utilization_%,OPD_Billing_Accuracy_%,IPD_Discharge_Summary_%,OT_Utilization_%,Surgery_Success_%,Emergency_Response_Min,Staff_Attendance_%,Claim_Settlement_%,Patient_Satisfaction_%,Ambulance_Response_Min,Consultancy Type,% Patient having ABHA ID,HFR_Registred,Time for Initial Assessment of Indoor Patients (min),% of Unplanned Return to OT,Mortality Ratio for ICU (%),Return to ICU within 48 hrs (%),TAT for the Issue of Blood (min),Ambulance Utilization Rate (%),Ambulance Medication/Equipment Availability (%)
HR25F0365,Yamunanagar,Yamunanagar-DH,Khizrabad,01-03-2025,75.5,51,4,56.7,74,7.2,47,87,78,30,90,23,95,94,82.2,16.5,New,56.7,Yes,40,5,1,2,28,18.5,41.3
HR25F0366,Yamunanagar,Yamunanagar-DH,Akbarpur,01-03-2025,63.5,81.6,0,77.1,81,7.1,88,92,78,83.3,100,29,84,75,95,19,Telemedicine,83.3,Yes,10,2,2,4,13,56.4,86.3
HR25F0367,Ambala,Ambala-DH,Mullana,01-04-2025,54.5,43.7,10,45.3,98,5.1,53,93,77,36.5,89,5,76,86,69.3,15,Follow-up,66,Yes,41,3,2,1,34,33.9,76.3
HR25F0368,Ambala,Ambala-DH,Chaurmastpur,01-04-2025,68,58.3,7,96.2,91,6.6,56,88,78,92.4,98,5,77,95,65.7,19,Telemedicine,88.7,No,46,1,0,1,56,54,57.5
HR25F0369,Ambala,Ambala-DH,Shahzadpur,01-04-2025,59,46.1,0,41.5,89,5.5,72,91,86,95,93,23,95,87,63.8,13.5,New,63.3,No,42,1,1,2,34,54,45
HR25F0370,Ambala,Ambala-DH,Brara,01-04-2025,53,62,10,80.9,84,5.5,48,81,79,39.1,91,24,77,86,63.8,17,Online,74,No,36,1,0,1,10,37.5,47.5
HR25F0371,Ambala,Ambala-DH,Ambli,01-04-2025,54.5,48.6,1,35.1,86,6.4,54,93,95,65.1,88,26,94,70,54.7,20,Online,35.3,No,51,1,3,0,41,74.1,72.5
HR25F0372,Bhiwani,Bhiwani-DH,Kairu,01-04-2025,54.5,51,2,77.1,87,5.0,62,97,73,58.6,86,27,96,89,74.8,12.5,New,58,Yes,54,5,3,0,65,17.4,43.8
HR25F0373,Bhiwani,Bhiwani-DH,Manheru,01-04-2025,57.5,66.9,5,97.5,73,7.9,90,87,80,69,99,13,92,66,51,18.5,Follow-up,30,Yes,12,2,0,2,90,44.5,83.8
HR25F0374,Bhiwani,Bhiwani-DH,Jamalpur,01-04-2025,87.5,52.2,5,56.7,79,5.6,61,80,72,36.5,89,18,85,61,62,11.5,Online,32.7,No,20,0,0,4,17,28,43.8
HR25F0375,Bhiwani,Bhiwani-DH,Dhanana,01-04-2025,95,90.1,13,54.2,95,6.6,87,92,91,52.1,96,29,80,69,43.7,10.5,Follow-up,31.3,No,56,3,0,4,54,29.2,52.5
HR25F0376,Bhiwani,Bhiwani-DH,Miran,01-04-2025,57.5,62,8,92.4,100,7.8,37,98,95,33.9,87,17,80,86,73,16.5,New,38,No,34,5,2,4,52,64.6,47.5
HR25F0377,Charkhi Dadri,Charkhi Dadri-DH,Gopi,01-04-2025,77,54.7,5,38.9,73,7.3,59,87,77,49.5,91,23,90,71,47.3,14,Follow-up,90,Yes,53,2,0,1,11,45.7,41.3
HR25F0378,Charkhi Dadri,Charkhi Dadri-DH,Bondkalan,01-04-2025,74,77.9,4,94.9,97,3.8,78,100,75,53.4,92,15,81,67,54.7,11.5,New,86,Yes,23,2,3,2,81,25.6,66.3
HR25F0379,Charkhi Dadri,Charkhi Dadri-DH,Jhojukalan,01-04-2025,84.5,53.4,2,87.3,88,6.4,59,84,99,45.6,99,7,85,80,91.3,11,Online,56.7,No,18,3,3,3,27,15,72.5
HR25F0380,Faridabad,ESIC Medical College,Kurali,01-04-2025,50,41.2,1,56.7,91,7.0,63,93,78,41.7,91,13,81,75,67.5,15,New,58,No,50,0,1,4,17,28,40
HR25F0381,Faridabad,ESIC Medical College,Pali,01-04-2025,77,51,14,78.4,90,7.1,81,86,94,71.6,98,6,91,85,51,16.5,New,68.7,Yes,51,0,3,0,36,70.5,76.3
HR25F0382,Faridabad,ESIC Medical College,Tigaon Kheri,01-04-2025,57.5,44.9,1,91.1,70,4.3,45,99,70,80.7,95,9,98,92,87.7,12.5,New,54,No,31,2,2,4,37,57.5,85
HR25F0383,Faridabad,ESIC Medical College,Kalan,01-04-2025,51.5,47.3,8,93.6,86,4.9,89,80,73,48.2,86,28,75,64,73,15.5,Follow-up,36.7,Yes,16,1,2,1,75,28,47.5
HR25F0384,Fatehabad,Fatehabad-DH,Bhattukalan,01-04-2025,69.5,95,1,75.8,83,7.2,57,92,84,93.7,95,8,76,67,67.5,18,Telemedicine,43.3,Yes,49,2,2,0,35,17.4,42.5
HR25F0385,Fatehabad,Fatehabad-DH,Bhuna,01-04-2025,56,87.7,4,66.9,79,4.8,50,90,70,87.2,95,5,91,90,74.8,18.5,New,62,No,50,5,2,3,26,68.2,76.3
HR25F0386,Fatehabad,Fatehabad-DH,Jakhal,01-04-2025,47,74.2,5,78.4,72,5.4,52,86,88,40.4,100,17,86,86,62,13.5,New,51.3,Yes,56,5,2,4,56,32.7,61.3
HR25F0387,Fatehabad,Fatehabad-DH,Badopal,01-04-2025,57.5,85.2,12,33.8,88,8.0,75,93,81,48.2,87,8,82,67,69.3,10.5,New,54,No,17,2,1,3,66,74.1,77.5
HR25F0388,Fatehabad,Fatehabad-DH,Bothankalan,01-04-2025,53,43.7,12,100,93,5.7,42,94,100,71.6,91,23,77,93,60.2,18.5,Online,40.7,Yes,47,3,1,3,44,15,43.8
HR25F0389,Gurgaon,Gurgaon-DH,Farukhnagar,01-04-2025,78.5,93.8,11,98.7,71,4.8,71,85,92,33.9,97,9,94,84,82.2,17,Follow-up,48.7,Yes,13,2,1,2,80,39.8,60
HR25F0390,Gurgaon,Gurgaon-DH,Bhora,01-04-2025,47,66.9,15,79.6,93,4.5,65,83,74,83.3,94,5,96,81,82.2,20,New,70,No,58,1,3,4,66,71.7,82.5
HR25F0391,Gurgaon,Gurgaon-DH,Kalan,01-04-2025,50,68.1,8,50.4,79,6.3,90,88,72,85.9,91,28,85,69,54.7,11,Follow-up,62,Yes,33,2,2,1,65,72.9,86.3
HR25F0392,Gurgaon,Gurgaon-DH,Ghangola,01-04-2025,36.5,88.9,3,59.3,99,3.9,68,96,75,83.3,94,10,83,81,74.8,10.5,New,42,No,10,4,3,3,49,44.5,56.3
HR25F0393,Hisar,Maharaja Agrasen Medical College,Siswal,01-04-2025,84.5,80.3,1,50.4,70,5.5,70,81,84,80.7,98,6,90,71,40,18.5,Follow-up,90,Yes,16,3,3,0,60,16.2,70
HR25F0394,Hisar,Maharaja Agrasen Medical College,Mangali,01-04-2025,42.5,66.9,15,60.5,85,6.3,31,96,94,71.6,94,28,77,93,87.7,12,New,62,No,36,5,3,4,52,31.5,57.5
HR25F0395,Hisar,Maharaja Agrasen Medical College,Aryanagar,01-04-2025,42.5,62,0,83.5,83,7.6,54,87,86,49.5,90,16,84,68,51,12.5,Online,47.3,No,48,1,2,2,59,23.3,50
HR25F0396,Hisar,Maharaja Agrasen Medical College,Uklana,01-04-2025,72.5,69.3,15,100,96,6.7,81,92,77,54.7,95,18,100,62,51,10,Telemedicine,54,No,43,0,0,1,80,43.4,76.3
HR25F0397,Hisar,Maharaja Agrasen Medical College,Mirchpur,01-04-2025,51.5,46.1,1,37.6,99,4.8,59,87,79,54.7,93,29,81,67,56.5,18,Online,76.7,No,23,0,0,1,77,70.5,73.8
HR25F0398,Hisar,Maharaja Agrasen Medical College,SisaiBola,01-04-2025,68,88.9,8,70.7,95,7.5,83,83,82,52.1,90,20,91,94,85.8,18.5,Follow-up,79.3,Yes,13,1,2,3,29,28,48.8
HR25F0399,Hisar,Maharaja Agrasen Medical College,Khanda,01-04-2025,74,46.1,4,72,95,5.4,37,97,99,82,100,30,98,89,84,10.5,Follow-up,58,Yes,42,3,2,2,89,46.9,68.8
HR25F0400,Hisar,Maharaja Agrasen Medical College,Kheri,01-04-2025,44,42.4,9,55.5,96,4.1,52,95,95,80.7,99,25,98,62,45.5,12,New,39.3,No,28,1,3,0,31,57.5,75
HR25F0401,Hisar,Maharaja Agrasen Medical College,Sorkhi,01-04-2025,51.5,81.6,1,41.5,74,5.6,62,100,71,95,96,22,94,77,65.7,18,Online,68.7,No,47,3,3,3,80,68.2,58.8
HR25F0402,Jhajjar,Jhajjar-DH,Dighal,01-04-2025,77,57.1,14,83.5,81,7.8,79,89,91,52.1,92,16,93,80,63.8,16.5,Follow-up,59.3,No,14,0,1,3,76,32.7,50
HR25F0403,Jhajjar,Jhajjar-DH,Dhakla,01-04-2025,38,51,0,61.8,71,6.0,79,93,98,58.6,92,7,78,63,60.2,19,Telemedicine,54,No,20,2,1,3,61,43.4,46.3
HR25F0404,Jhajjar,Jhajjar-DH,Jamalpur,01-04-2025,63.5,41.2,2,40.2,98,5.8,36,100,95,65.1,88,24,82,60,93.2,19.5,New,36.7,No,23,1,2,1,57,18.5,86.3
HR25F0405,Jhajjar,Jhajjar-DH,Dubaldhan,01-04-2025,41,44.9,15,83.5,91,8.1,70,81,79,53.4,98,13,83,72,47.3,18.5,Online,88.7,No,33,1,3,2,39,70.5,60
HR25F0406,Jhajjar,Jhajjar-DH,Badli,01-04-2025,89,93.8,7,89.8,89,3.8,74,82,70,78.1,85,7,84,82,54.7,19,Follow-up,71.3,Yes,60,3,3,4,14,59.9,68.8
HR25F0407,Jhajjar,Jhajjar-DH,Charra,01-04-2025,35,84,1,47.8,92,4.0,80,91,75,75.5,87,8,84,86,80.3,20,New,80.7,No,28,2,2,4,28,77.6,63.8
HR25F0408,Jind,Jind-DH,Jullana,01-04-2025,63.5,63.2,10,83.5,75,3.6,59,88,95,53.4,90,16,83,76,51,12,Follow-up,67.3,Yes,14,4,0,1,61,65.8,46.3
HR25F0409,Jind,Jind-DH,Kalwa,01-04-2025,63.5,54.7,12,80.9,99,6.3,52,96,96,53.4,88,10,93,89,67.5,17.5,Telemedicine,36.7,No,45,0,1,2,78,74.1,73.8
HR25F0410,Jind,Jind-DH,Kharakramji,01-04-2025,56,95,15,60.5,77,6.0,85,93,93,39.1,87,24,91,94,52.8,11,Telemedicine,68.7,Yes,35,1,2,2,23,50.5,66.3
HR25F0411,Jind,Jind-DH,Ujhana,01-04-2025,42.5,68.1,9,80.9,85,8.0,34,89,79,87.2,86,12,75,70,89.5,15,Online,68.7,Yes,57,2,2,2,53,65.8,66.3
HR25F0412,Jind,Jind-DH,Kandela,01-04-2025,36.5,69.3,5,74.5,72,6.2,64,87,87,79.4,96,5,86,61,74.8,19,New,80.7,Yes,10,4,0,0,46,69.4,60
HR25F0413,Jind,Jind-DH,Muana,01-04-2025,95,87.7,11,59.3,97,5.2,88,94,79,45.6,86,15,77,64,47.3,11,Online,40.7,Yes,26,4,1,4,71,37.5,47.5
HR25F0414,Jind,Jind-DH,Alewa,01-04-2025,68,48.6,7,32.5,76,5.8,67,95,79,58.6,90,16,89,64,43.7,17.5,Follow-up,62,Yes,18,1,0,3,32,37.5,41.3
HR25F0415,Kaithal,Kaithal-DH,Kaul,01-04-2025,68,76.7,15,37.6,74,5.9,81,94,88,48.2,96,7,87,62,80.3,10.5,New,47.3,Yes,10,0,0,4,15,77.6,87.5
HR25F0416,Kaithal,Kaithal-DH,Siwan,01-04-2025,81.5,68.1,2,77.1,75,3.5,31,83,72,92.4,99,26,89,63,73,17.5,New,62,Yes,10,2,1,4,50,29.2,55
HR25F0417,Kaithal,Kaithal-DH,Rajaund,01-04-2025,45.5,91.3,15,31.3,91,9.6,82,99,87,93.7,86,24,87,93,63.8,12.5,New,58,Yes,56,2,1,3,84,18.5,60
HR25F0418,Kaithal,Kaithal-DH,Pundri,01-04-2025,36.5,75.4,2,87.3,81,6.5,47,86,95,91.1,95,21,91,89,91.3,20,New,66,Yes,33,5,3,1,31,48.1,86.3
HR25F0419,Karnal,Kalpana Chawala Medical College,Taraori,01-04-2025,62,48.6,5,65.6,70,6.1,31,91,85,56,94,7,93,95,76.7,16.5,Online,86,Yes,16,1,0,1,49,71.7,65
HR25F0420,Karnal,Kalpana Chawala Medical College,Gharunda,01-04-2025,69.5,80.3,6,72,70,6.6,42,89,95,65.1,94,9,82,89,49.2,10.5,New,66,Yes,39,3,2,1,90,50.5,63.8
HR25F0421,Karnal,Kalpana Chawala Medical College,Nissing,01-04-2025,68,57.1,12,92.4,75,6.8,81,99,100,69,99,9,98,86,74.8,14.5,New,78,No,47,0,2,4,22,72.9,57.5
HR25F0422,Karnal,Kalpana Chawala Medical College,Kunjpura,01-04-2025,87.5,63.2,1,66.9,93,5.6,63,94,81,75.5,86,27,98,74,52.8,10,New,72.7,Yes,44,4,2,3,50,69.4,45
HR25F0423,Karnal,Kalpana Chawala Medical College,Ballah,01-04-2025,41,79.1,2,77.1,83,4.9,85,85,88,63.8,100,9,94,90,91.3,15.5,Follow-up,55.3,Yes,34,2,1,3,11,71.7,43.8
HR25F0424,Karnal,Kalpana Chawala Medical College,Nigdu,01-04-2025,36.5,51,4,69.5,84,6.6,43,81,80,70.3,93,17,99,69,43.7,19.5,New,36.7,Yes,16,5,2,2,74,56.4,40
HR25F0425,Karnal,Kalpana Chawala Medical College,Sambhli,01-04-2025,84.5,86.4,10,94.9,77,6.4,30,86,75,65.1,87,23,81,73,51,15,New,70,Yes,34,1,2,3,19,63.5,75
HR25F0426,Karnal,Kalpana Chawala Medical College,Padha,01-04-2025,47,59.6,2,46.5,84,4.7,46,89,86,58.6,89,10,82,83,84,18.5,New,76.7,Yes,18,5,0,4,51,74.1,87.5
HR25F0427,Kurukshetra,Kurukshetra-DH,Pehowa,01-04-2025,56,48.6,13,66.9,99,7.8,51,87,98,52.1,96,16,84,88,76.7,19,Follow-up,87.3,No,53,0,1,4,84,61.1,82.5
HR25F0428,Kurukshetra,Kurukshetra-DH,Ladwa,01-04-2025,63.5,92.6,5,100,94,6.2,87,87,82,62.5,92,22,76,82,51,18,New,35.3,No,26,3,0,3,11,43.4,71.3
HR25F0429,Kurukshetra,Kurukshetra-DH,Mathana,01-04-2025,36.5,64.4,4,54.2,99,6.9,69,85,100,59.9,93,13,77,65,78.5,16,Follow-up,46,No,44,1,0,3,51,78.8,45
HR25F0430,Kurukshetra,Kurukshetra-DH,Jhansa,01-04-2025,89,82.8,2,31.3,96,7.8,52,95,91,49.5,93,17,97,70,62,15.5,New,63.3,Yes,44,5,2,2,13,38.6,67.5
HR25F0431,Kurukshetra,Kurukshetra-DH,Barana,01-04-2025,84.5,44.9,14,44,76,5.8,33,85,89,69,94,17,78,65,54.7,20,New,59.3,No,12,5,2,1,36,56.4,85
HR25F0432,Kurukshetra,Kurukshetra-DH,Babain,01-04-2025,50,85.2,6,33.8,100,6.2,61,93,97,93.7,86,26,95,68,91.3,11.5,New,34,No,31,0,0,4,82,20.9,61.3
HR25F0433,Mahendragarh,Mahendragarh-DH,Ateli,01-04-2025,50,60.8,8,87.3,77,6.9,37,80,72,32.6,99,25,81,78,52.8,18.5,New,32.7,Yes,50,2,0,1,79,63.5,53.8
HR25F0434,Mahendragarh,Mahendragarh-DH,Nangal‑sirohi,01-04-2025,92,46.1,7,74.5,70,4.8,81,96,86,53.4,89,22,91,82,45.5,15,New,66,No,15,1,2,0,75,41,56.3
HR25F0435,Mahendragarh,Mahendragarh-DH,Nangal‑chaudhry,01-04-2025,68,75.4,2,94.9,90,5.9,34,85,94,63.8,96,14,94,95,56.5,17,New,51.3,No,29,2,3,3,18,23.3,53.8
HR25F0436,Mahendragarh,Mahendragarh-DH,Satnali,01-04-2025,50,76.7,8,52.9,70,6.0,65,86,95,41.7,92,16,94,81,62,11.5,New,30,No,46,3,0,3,83,29.2,67.5
HR25F0437,Mahendragarh,Mahendragarh-DH,Sehlang,01-04-2025,65,69.3,2,61.8,94,4.5,30,96,91,49.5,95,12,98,60,65.7,20,Online,86,No,11,5,3,4,69,28,63.8
HR25F0438,Mahendragarh,Mahendragarh-DH,Dochana,01-04-2025,35,52.2,15,30,90,9.0,54,96,72,63.8,86,29,91,88,91.3,19.5,New,86,Yes,24,3,1,0,55,62.3,55
HR25F0439,Mewat,SHKM‑Medical College,Ferozepur Zhirka,01-04-2025,53,63.2,1,52.9,87,3.8,45,96,100,41.7,93,18,89,78,84,14,Online,72.7,No,53,3,3,1,76,64.6,72.5
HR25F0440,Mewat,SHKM‑Medical College,Punhana,01-04-2025,84.5,93.8,15,31.3,100,4.0,39,86,81,57.3,93,8,97,64,85.8,14.5,Online,74,No,30,5,3,0,35,20.9,88.8
HR25F0441,Mewat,SHKM‑Medical College,Tauru,01-04-2025,48.5,52.2,14,59.3,93,7.6,90,84,81,53.4,90,11,84,64,60.2,13,Online,40.7,No,11,4,2,0,57,28,41.3
HR25F0442,Palwal,Palwal-DH,Aurangabad,01-04-2025,75.5,74.2,6,30,86,6.8,80,86,96,72.9,94,20,79,95,52.8,14,New,36.7,No,29,2,0,3,23,25.6,66.3
HR25F0443,Palwal,Palwal-DH,Hathin,01-04-2025,93.5,40,11,31.3,92,4.3,70,83,87,54.7,92,5,88,89,82.2,20,Online,71.3,No,21,3,1,0,64,56.4,48.8
HR25F0444,Palwal,Palwal-DH,Sondhad,01-04-2025,60.5,47.3,14,51.6,96,6.6,87,88,83,78.1,96,26,84,80,40,10.5,New,72.7,Yes,59,5,3,0,31,19.7,73.8
HR25F0445,Palwal,Palwal-DH,Alawalpur,01-04-2025,89,85.2,15,32.5,90,7.8,38,87,99,61.2,99,21,90,76,43.7,15,New,63.3,Yes,17,5,1,3,80,17.4,41.3
HR25F0446,Palwal,Palwal-DH,Dudhola,01-04-2025,80,74.2,2,59.3,97,5.7,78,84,87,33.9,85,6,97,82,76.7,13,New,48.7,No,14,1,2,4,27,64.6,90
HR25F0447,Panchkula,Panchkula-DH,Raipurrani,01-04-2025,69.5,63.2,1,30,93,9.4,33,95,97,62.5,87,12,97,73,65.7,10.5,Telemedicine,47.3,No,43,1,3,4,13,17.4,66.3
HR25F0448,Panchkula,Panchkula-DH,Nanakpur,01-04-2025,83,93.8,15,98.7,87,3.4,79,83,87,31.3,93,6,85,67,93.2,13.5,New,30,Yes,50,3,2,1,90,57.5,50
HR25F0449,Panchkula,Panchkula-DH,Morni,01-04-2025,51.5,55.9,8,56.7,78,6.8,66,95,82,72.9,94,29,98,63,62,17,Telemedicine,48.7,No,23,1,1,0,87,67,73.8
HR25F0450,Panipat,Panipat-DH,Ahar,01-04-2025,42.5,86.4,11,94.9,73,7.4,30,90,87,67.7,99,14,92,82,52.8,17.5,New,76.7,Yes,60,4,2,1,62,50.5,40
HR25F0451,Panipat,Panipat-DH,Dadlana,01-04-2025,77,64.4,3,84.7,86,7.1,44,81,78,44.3,91,16,93,78,95,13,Telemedicine,63.3,Yes,28,4,0,3,16,39.8,70
HR25F0452,Panipat,Panipat-DH,Bapoli,01-04-2025,75.5,64.4,10,86,87,5.5,80,91,87,74.2,86,20,88,78,76.7,10,Telemedicine,80.7,No,42,2,1,1,66,37.5,47.5
HR25F0453,Panipat,Panipat-DH,Mathloda,01-04-2025,81.5,71.8,10,36.4,98,5.4,75,80,93,87.2,88,12,92,76,45.5,17,Telemedicine,58,No,58,5,2,0,54,24.5,52.5
HR25F0454,Panipat,Panipat-DH,Naultha,01-04-2025,77,76.7,11,75.8,75,6.4,56,95,93,67.7,95,28,96,85,52.8,11.5,Follow-up,74,No,57,3,3,1,18,48.1,43.8
HR25F0455,Panipat,Panipat-DH,Naraina,01-04-2025,84.5,44.9,12,66.9,92,6.9,38,82,98,70.3,90,7,85,78,89.5,12.5,Online,50,Yes,12,4,1,0,60,50.5,50
HR25F0456,Panipat,Panipat-DH,Khotpura,01-04-2025,93.5,84,12,60.5,92,6.6,75,94,85,63.8,98,22,89,95,76.7,17,Telemedicine,46,Yes,48,5,1,4,62,74.1,85
HR25F0457,Rewari,Rewari-DH,Gurawara,01-04-2025,47,57.1,15,47.8,81,7.3,50,95,88,50.8,96,26,93,80,56.5,11.5,New,31.3,No,48,0,1,4,45,28,80
HR25F0458,Rewari,Rewari-DH,Bawal,01-04-2025,84.5,63.2,3,66.9,88,4.4,47,86,72,50.8,88,5,89,77,84,18,Follow-up,82,No,57,2,0,1,38,65.8,85
HR25F0459,Rewari,Rewari-DH,Nahar,01-04-2025,39.5,80.3,3,80.9,93,5.5,40,97,72,91.1,88,16,92,95,41.8,15,Online,54,Yes,14,2,0,3,88,51.6,42.5
HR25F0460,Rewari,Rewari-DH,Mirpur,01-04-2025,60.5,82.8,12,86,96,4.5,89,80,91,50.8,94,24,85,69,89.5,17,New,31.3,Yes,27,0,1,2,35,69.4,45
HR25F0461,Rewari,Rewari-DH,Khol,01-04-2025,92,40,1,30,87,5.2,66,91,80,54.7,96,20,83,65,87.7,17.5,Online,39.3,No,48,0,2,3,14,20.9,75
HR25F0462,Rohtak,Rohtak-DH,Kahanaur,01-04-2025,95,64.4,2,59.3,76,7.2,73,95,73,62.5,87,18,76,80,85.8,15,New,40.7,No,27,5,1,1,90,68.2,62.5
HR25F0463,Rohtak,Rohtak-DH,Sampla Kiloi,01-04-2025,92,85.2,1,68.2,78,5.9,59,81,87,93.7,99,28,99,91,91.3,11,Follow-up,88.7,No,11,5,3,2,39,64.6,72.5
HR25F0464,Rohtak,Rohtak-DH,Chiri,01-04-2025,50,79.1,15,54.2,91,9.4,73,94,79,88.5,86,16,75,61,54.7,16.5,New,38,Yes,21,0,2,1,60,49.3,72.5
HR25F0465,Rohtak,Rohtak-DH,Madina,01-04-2025,90.5,52.2,11,72,83,6.1,88,92,85,87.2,97,9,95,87,76.7,20,New,58,No,51,4,1,2,49,45.7,58.8
HR25F0466,Rohtak,Rohtak-DH,Lakhan Majra,01-04-2025,69.5,90.1,5,33.8,97,5.9,73,86,90,87.2,96,10,93,74,41.8,19,New,48.7,No,43,3,1,0,36,26.8,46.3
HR25F0467,Sirsa,Sirsa-DH,Rania,01-04-2025,93.5,80.3,1,97.5,94,5.9,77,92,70,93.7,99,16,96,92,49.2,10,Online,75.3,No,20,5,3,3,51,30.4,86.3
HR25F0468,Sirsa,Sirsa-DH,Odhan,01-04-2025,56,90.1,4,52.9,76,4.9,33,94,84,31.3,88,28,87,64,84,15.5,New,31.3,No,44,4,0,3,39,52.8,46.3
HR25F0469,Sirsa,Sirsa-DH,Bara‑Gudda,01-04-2025,71,92.6,2,100,100,5.7,41,99,77,44.3,87,18,92,72,52.8,19,Online,43.3,No,24,4,3,0,12,38.6,57.5
HR25F0470,Sirsa,Sirsa-DH,Kalanwali,01-04-2025,56,75.4,15,59.3,72,7.4,38,94,87,66.4,98,29,96,80,52.8,10,Online,66,No,60,4,1,3,84,50.5,86.3
HR25F0471,Sirsa,Sirsa-DH,Nathusari‑Chopta,01-04-2025,41,41.2,4,77.1,85,5.9,52,87,89,93.7,95,12,100,77,91.3,15.5,Follow-up,46,No,11,1,3,1,82,17.4,62.5
HR25F0472,Sirsa,Sirsa-DH,Madhosinghana,01-04-2025,69.5,51,5,35.1,83,4.7,42,91,96,59.9,99,23,99,84,76.7,13.5,New,83.3,No,55,3,1,1,74,30.4,63.8
HR25F0473,Sirsa,Sirsa-DH,Chautala,01-04-2025,53,79.1,1,97.5,76,4.5,75,83,74,58.6,97,10,97,92,89.5,17.5,New,59.3,Yes,57,2,3,3,41,31.5,50
HR25F0474,Sonipat,Sonipat-DH,Kharkhauda,01-04-2025,57.5,76.7,3,87.3,84,5.2,55,87,92,85.9,86,14,89,65,69.3,15,Follow-up,46,Yes,12,1,0,0,40,67,67.5
HR25F0475,Sonipat,Sonipat-DH,Badkhalsa,01-04-2025,71,51,2,91.1,95,5.9,48,95,77,44.3,99,30,81,82,78.5,15,New,70,Yes,18,3,1,1,72,64.6,75
HR25F0476,Sonipat,Sonipat-DH,Ganaur,01-04-2025,77,91.3,4,38.9,90,7.5,62,96,88,80.7,98,7,80,74,69.3,15,Follow-up,50,No,57,0,1,3,39,78.8,80
HR25F0477,Sonipat,Sonipat-DH,Juan,01-04-2025,71,55.9,1,47.8,85,3.9,78,98,70,57.3,99,13,99,67,47.3,17.5,Telemedicine,68.7,Yes,54,5,3,2,58,64.6,71.3
HR25F0478,Sonipat,Sonipat-DH,Mundlana,01-04-2025,92,42.4,11,94.9,97,5.4,58,81,82,95,95,8,83,60,76.7,18,New,54,Yes,57,1,2,1,47,62.3,73.8
HR25F0479,Sonipat,Sonipat-DH,Firozepur‑bangar,01-04-2025,81.5,69.3,10,54.2,79,6.0,37,91,72,79.4,92,12,88,63,95,15.5,Follow-up,74,No,39,1,3,2,18,75.3,48.8
HR25F0480,Sonipat,Sonipat-DH,Purkhas,01-04-2025,44,64.4,3,37.6,72,3.2,45,99,97,50.8,94,18,83,79,65.7,12.5,Telemedicine,76.7,No,15,1,2,2,82,28,48.8
HR25F0481,Sonipat,Sonipat-DH,Bhainswal‑kalan,01-04-2025,63.5,95,9,56.7,75,4.6,61,90,96,87.2,100,6,76,77,84,16.5,Online,76.7,Yes,30,4,3,2,51,45.7,47.5
HR25F0482,Yamunanagar,Yamunanagar-DH,Naharpur,01-04-2025,72.5,82.8,2,41.5,88,4.8,86,81,96,87.2,90,17,98,78,47.3,18,Online,50,Yes,11,3,2,2,54,59.9,63.8
HR25F0483,Yamunanagar,Yamunanagar-DH,Saraswatinagar,01-04-2025,68,65.7,5,66.9,78,4.7,74,94,94,35.2,97,13,94,67,82.2,11.5,Online,47.3,Yes,25,3,2,1,19,78.8,62.5
HR25F0484,Yamunanagar,Yamunanagar-DH,Sadhaura,01-04-2025,74,66.9,7,46.5,77,6.1,87,81,71,57.3,89,17,88,65,80.3,18.5,New,78,No,53,3,0,1,25,16.2,62.5
HR25F0485,Yamunanagar,Yamunanagar-DH,Chhachhrauli,01-04-2025,47,76.7,13,98.7,80,5.6,63,95,78,33.9,99,12,96,69,82.2,18.5,Online,60.7,No,37,4,0,4,79,45.7,75
HR25F0486,Yamunanagar,Yamunanagar-DH,Bilaspur,01-04-2025,51.5,42.4,1,74.5,74,5.0,86,88,87,79.4,99,25,82,61,63.8,13,Telemedicine,80.7,Yes,49,4,2,2,28,16.2,63.8
HR25F0487,Yamunanagar,Yamunanagar-DH,Khizrabad,01-04-2025,95,58.3,3,59.3,89,6.4,84,83,77,85.9,99,10,81,95,40,16,Follow-up,36.7,Yes,51,3,1,3,76,41,61.3
HR25F0488,Yamunanagar,Yamunanagar-DH,Akbarpur,01-04-2025,86,73,2,33.8,84,8.2,56,89,88,89.8,89,17,79,70,71.2,14.5,New,67.3,Yes,60,4,1,1,19,22.1,52.5
HR25F0489,Ambala,Ambala-DH,Mullana,01-05-2025,36.5,71.8,15,89.8,78,8.1,79,93,74,83.3,94,14,89,63,54.7,12.5,Follow-up,67.3,Yes,22,2,3,3,90,35.1,40
HR25F0490,Ambala,Ambala-DH,Chaurmastpur,01-05-2025,57.5,90.1,9,80.9,70,3.1,90,94,80,40.4,96,26,96,87,49.2,19,New,43.3,Yes,31,0,2,2,79,80,83.8
HR25F0491,Ambala,Ambala-DH,Shahzadpur,01-05-2025,90.5,75.4,7,44,89,6.6,50,83,81,65.1,91,24,99,75,40,19,New,34,No,31,2,0,3,90,80,40
HR25F0492,Ambala,Ambala-DH,Brara,01-05-2025,77,76.7,9,51.6,91,5.5,76,86,77,65.1,98,10,76,73,49.2,14,Follow-up,64.7,No,29,3,3,1,81,49.3,65
